Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
OM268406,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,CO-CDPHE-30711047,29750,partial,USA,Homo sapiens,,"Bankers,L., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.",2022-01-03,2022-01-14,ssRNA(+)
OW204064,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29841,partial,United Kingdom:England,Homo sapiens,,"Fraser,D., Lee,S., Howes,R., The Rosalind Franklin,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-03-07,2022-03-21,ssRNA(+)
PQ052599,Influenza A virus,Alphainfluenzavirus influenzae,H5N1,24-016134-229-original,2280,partial,USA: WY,Bos taurus,mammalian milk,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.",2024-04-29,2024-07-24,ssRNA(-)
MN004619,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,EPI_ISL_354267,1540,partial,USA: Vermont,Homo sapiens,,"Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.",2019-03-16,2019-06-05,ssRNA(-)
OV759889,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29873,partial,United Kingdom:England,Homo sapiens,,"Lighthouse Laboratory,Plymouth., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-01-18,2022-01-29,ssRNA(+)
OW902429,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29729,partial,Germany:Europe/Germany/Bavaria,Homo sapiens,,,2022-03-02,2022-05-17,ssRNA(+)
OX999220,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29467,partial,Germany:Europe/Germany/Bavaria,Homo sapiens,,,2022-05-31,2023-06-22,ssRNA(+)
PV538928,Influenza A virus,Alphainfluenzavirus influenzae,H3N2,MA-Broad_MGH-23604,1497,partial,USA: Massachusetts,Homo sapiens,,"Paull,J., Messer,K., Adams,G., Nabatanzi,D., Dobbins,S., Tomkins-Tinch,C., Mboowa,G., Luebbert,L., Worby,C., Wewior,N., Samani,P., DeRuff,K., Blumenstiel,B., Moreno,G., Earl,A., Gnirke,A., MacInnis,B., Sabeti,P., Lemieux,J., Park,D.",2025-01-24,2025-04-18,ssRNA(-)
OR628755,Influenza B virus,Betainfluenzavirus influenzae,,EPI_ISL_17981462,1847,partial,USA: Colorado,Homo sapiens,,"Wentworth,D., Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.",2023-05-30,2023-10-08,ssRNA(-)
PP671468,Human immunodeficiency virus 1,Lentivirus humimdef1,,C20132935,1004,partial,China,Homo sapiens,,"Ye,J., Lan,Y., Wang,J., Feng,Y., Lin,Y., Zhou,Y., Liu,J., Yuan,D., Lu,X., Guo,W., Zheng,M., Song,X., Zhou,Q., Yang,H., Zheng,C., Guo,Q., Yang,X., Yang,K., Zhang,L., Ge,Z., Liu,L., Yu,F., Han,Y., Huang,H., Hao,M., Chen,Q., Ling,X., Ruan,Y., Dong,Y., Zhou,C., Liu,X., Bai,J., Tong,X., Gao,Y., Yang,Z., Wang,A., Wei,W., Mei,F., Qiao,R., Luo,X., Huang,X., Chen,J., Hu,F., Shen,X., Tan,W., Tu,A., Zhang,X., He,S., Ning,Z., Fan,J., Liu,C., Xu,C., Ren,X., Sun,Y., Li,Y., Liu,G., Li,X., Li,J., Duan,J., Huang,T., Liu,S., Yu,G., Wu,D., Shao,Y., Pan,Q., Su,B., Wu,J., Jiang,T., Zhao,H., Zhang,T., Chen,F., Cai,K., Hu,B., Wang,H., Zhao,J., Gao,B., Sun,W., Ning,T., Liang,S., Huo,Y., Fu,G., Chen,X., Li,F., Xing,H., Lu,H.",2013,2024-09-10,ssRNA-RT
OV730936,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29873,partial,United Kingdom:England,Homo sapiens,,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-01-12,2022-01-26,ssRNA(+)
OV083618,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29896,complete,United Kingdom:England,Homo sapiens,,,2021-10-21,2021-11-26,ssRNA(+)
PV499817,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,EPI_ISL_19746264,865,partial,USA: Wisconsin,Homo sapiens,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.",2025-01-29,2025-04-15,ssRNA(-)
OU133100,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29874,partial,Germany:Europe/Germany/North Rhine-Westphalia,Homo sapiens,,,2021-04-16,2021-06-09,ssRNA(+)
MW155973,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,VIC9874,29849,complete,Australia: Victoria,Homo sapiens,,"Caly,L., Seemann,T., Sait,M.L., Schultz,M.B., Druce,J., Sherry,N.L.",2020-08-07,2020-10-22,ssRNA(+)
OY215375,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29732,partial,Germany:Europe/Germany/Baden-Wurttemberg,Homo sapiens,,,2023-04-14,2023-07-02,ssRNA(+)
OX262704,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,,29835,partial,United Kingdom:Wales,Homo sapiens,,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.",2022-07-07,2022-08-08,ssRNA(+)
PP499841,Influenza A virus,Alphainfluenzavirus influenzae,H6N2,3517,2151,partial,China: Guangxi,Anatidae,feces,"Peng,L., Jin,Z., Chen,P., Zhang,Z., Fan,X., Hong,W., Liu,Y., Smith,D.K., Cheung,W.Y., Wang,J., Zhu,H., Lam,T.T., Guan,Y., Cheung,Y.-M., Lam,T.T.-Y.",2017-08-23,2025-01-13,ssRNA(-)
OU010085,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,ZH-ETHZ-471160,29897,partial,Switzerland:ZH,Homo sapiens,,,2021-01-27,2021-05-10,ssRNA(+)
KY680458,Mumps virus genotype F,Orthorubulavirus parotitidis,,,1749,partial,China,Homo sapiens,,"Cui,A., Xu,W.",2013,2018-12-31,ssRNA(-)
OM678341,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,UT-UPHL-220210785637,29772,partial,USA,Homo sapiens,,"Linares-Perdomo,O.J.",2022-01-24,2022-02-15,ssRNA(+)
OP010740,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,UT-UPHL-220714816013,29765,partial,USA,Homo sapiens,,"LInares-Perdomo,O.J.",2022-07-04,2022-07-19,ssRNA(+)
OK188514,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,,NC-CDC-2-3973480,29865,partial,USA: NC,Homo sapiens,,"Sheth,M., Nobles,S., Padilla,J., Burgin,A., Bentz,M., Burroughs,M., Cook,P., Paden,C.R., Batra,D., Queen,K., Knipe,K., Howard,D., Unoarumhi,Y., Schmerer,M., Rambo-Martin,B.L., Lacek,K., Shepard,S., Wentworth,D., Dugan,V., Tong,S., Lee,J.",2021-02-22,2021-09-20,ssRNA(+)
MZ679996,Mitoviridae sp.,Mitoviridae sp.,,270-k141_60811,2843,partial,China: Henan,,,"Chen,Y.M., Sadiq,S., Tian,J.H., Chen,X., Lin,X.D., Shen,J.J., Chen,H., Hao,Z.Y., Wille,M., Zhou,Z.C., Wu,J., Li,F., Wang,H.W., Yang,W.D., Xu,Q.Y., Wang,W., Gao,W.H., Holmes,E.C., Zhang,Y.Z., Chen,Y.-M., Zhang,Y.-Z.",2017-09-13,2022-03-10,ssRNA(+)
